Gene_ID,Gene_Annotation ,Expression_values,Gene_length,Unique_gene_reads,Total_gene_reads,RPKM
g10037.t1,Not Available,24,668,24,32,2.3933
g10038.t1,rnase z,122,999,122,247,12.3526
g10039.t1,Not Available,0,384,0,3,0.3903
g1004.t1,hypothetical protein [Podospora anserina S mat+],27,1086,27,95,4.3704
g10040.t1,protein,1425,2601,1425,1668,32.0393
g10041.t1,"hypothetical protein CH063_01763, partial [Colletotrichum higginsianum]",0,228,0,0,0.0000
g10042.t1,Not Available,0,396,0,1,0.1262
g10043.t1,helix-loop-helix dna-binding domain containing protein,1496,1170,1496,1496,63.8812
g10044.t1,Not Available,18,678,18,18,1.3264
g10045.t1,Not Available,5,849,5,5,0.2942
g10046.t1,Not Available,923,615,923,1574,127.8665
g10047.t1,Not Available,326,1428,326,434,15.1841
g10048.t1,alcohol dehydrogenase,6,1077,6,11,0.5103
g10049.t1,hypothetical protein GLRG_05313 [Glomerella graminicola M1.001],0,2148,0,0,0.0000
g1005.t1,Not Available,0,801,0,3,0.1871
g10050.t1,Not Available,0,330,0,0,0.0000
g10051.t1,gtpase activating protein,343,3474,343,533,7.6652
g10052.t1,Not Available,268,3141,268,420,6.6805
g10053.t1,af357910_1 microneme protein partial,443,1635,443,574,17.5397
g10054.t1,Not Available,0,867,0,2,0.1152
g10055.t1,hir3_chagb ame: full=histone transcription regulator 3 homolog,1425,7455,1425,2170,14.5425
g10056.t1,Not Available,111,561,111,244,21.7297
g10057.t1,Not Available,20,2424,20,44,0.9069
g10058.t1,Not Available,0,1242,0,1,0.0402
g10059.t1,mpr-like gpcr protein,187,954,187,270,14.1398
g1006.t1,er lumen protein retaining receptor,588,813,588,1871,114.9769
g10060.t1,Not Available,72,1374,72,93,3.3816
g10061.t1,translation machinery-associated protein 7,7509,207,7509,7533,1818.1298
g10062.t1,serine threonine-protein kinase prp4,1753,2445,1753,2567,52.4535
g10063.t1,Not Available,0,1272,0,3,0.1178
g10064.t1,Not Available,7,639,7,7,0.5473
g10065.t1,Not Available,46,1155,46,46,1.9898
g10066.t1,ran1-like protein kinase,5964,2601,5964,9324,179.0974
g10067.t1,Not Available,5121,1410,5121,10484,371.4798
g10068.t1,ankyrin repeat containing protein,563,5433,563,935,8.5980
g10069.t1,Not Available,0,1212,0,3,0.1237
g1007.t1,mitochondrial ribosomal protein s19,218,1485,218,615,20.6907
g10070.t1,Not Available,0,1362,0,0,0.0000
g10071.t1,Not Available,0,363,0,0,0.0000
g10072.t1,hypothetical protein FG03099.1 [Gibberella zeae PH-1],1526,1443,1526,2085,72.1883
g10073.t1,Not Available,135,948,135,216,11.3834
g10074.t1,d-alanyl-d-alanine carboxypeptidase d-alanyl-d-alanine-endopeptidase,42,1446,42,102,3.5242
g10075.t1,Not Available,0,1185,0,3,0.1265
g10076.t1,protein,269,1875,269,269,7.1677
g10077.t1,aaa family atpase,620,3723,620,620,8.3200
g10078.t1,beta-glucuronidase precursor,8,1926,8,10,0.2594
g10079.t1,polymerase [rice ragged stunt virus],0,1491,0,0,0.0000
g1008.t1,transcription initiation factor tfiid subunit 10,353,993,353,639,32.1498
g10080.t1,hydroxyacid oxidase,14,1158,14,55,2.3729
g10081.t1,Not Available,0,1029,0,2,0.0971
g10082.t1,Not Available,0,552,0,0,0.0000
g10083.t1,Not Available,0,381,0,0,0.0000
g10084.t1,gmc oxidoreductase,758,1653,758,1296,39.1705
g10085.t1,Not Available,8,1029,8,18,0.8739
g10086.t1,Not Available,126,462,126,126,13.6256
g10087.t1,glutathionylspermidine synthase,141,1431,141,141,4.9227
g10088.t1,salicylate hydroxylase,369,1524,369,382,12.5229
g10089.t1,Not Available,6796,1671,6796,10435,311.9919
g1009.t1,Not Available,60,3735,60,308,4.1199
g10090.t1,cap22 protein,17096,669,17096,38964,2909.8103
g10091.t1,hypothetical protein FOXB_14286 [Fusarium oxysporum Fo5176],683,2448,683,683,13.9392
g10092.t1,dopa -dioxygenase,425,564,425,570,50.4921
g10093.t1,Not Available,0,270,0,2,0.3701
g10094.t1,hypothetical protein FOXB_12993 [Fusarium oxysporum Fo5176],949,3549,949,1067,15.0205
g10095.t1,Not Available,0,474,0,1,0.1054
g10096.t1,Not Available,32,408,32,52,6.3675
g10097.t1,duf636 domain-containing protein,1029,1197,1029,1029,42.9485
g10098.t1,hypothetical protein TRIATDRAFT_31330 [Trichoderma atroviride IMI 206040],5,1401,5,5,0.1783
g10099.t1,hypothetical protein MYCTH_94484 [Myceliophthora thermophila ATCC 42464],0,1245,0,0,0.0000
g101.t1,nadp-dependent l-serine l-allo-threonine dehydrogenase ydfg,475,2169,475,1032,23.7710
g1010.t1,wd40 repeat-like-containing domain,349,5031,349,1346,13.3665
g10100.t1,f-box domain-containing protein,126,1113,126,209,9.3816
g10101.t1,Not Available,116,789,116,225,14.2473
g10102.t1,Not Available,130,758,130,136,8.9639
g10103.t1,succinate fumarate mitochondrial transporter,1606,972,1606,3079,158.2598
g10104.t1,Not Available,22,597,22,52,4.3517
g10105.t1,Not Available,696,495,696,696,70.2476
g10106.t1,Not Available,50,1539,50,118,3.8306
g10107.t1,sulfur controller 2,752,2010,752,1517,37.7065
g10108.t1,Not Available,823,1407,823,2181,77.4442
g10109.t1,clavaminate synthase-like protein,1491,1143,1491,4543,198.5746
g1011.t1,Not Available,0,450,0,1,0.1110
g10110.t1,Not Available,221,3564,221,538,7.5417
g10111.t1,kinase activator,360,1470,360,715,24.3005
g10112.t1,hsp90 co-chaperone cdc37,429,1557,429,991,31.7989
g10113.t1,tata-binding protein-associated factor mot1,2315,5688,2315,3203,28.1336
g10114.t1,Not Available,0,264,0,0,0.0000
g10115.t1,Not Available,1,2193,1,1,0.0228
g10116.t1,Not Available,28,2373,28,50,1.0527
g10117.t1,chromosome segregation protein,468,3588,468,1011,14.0775
g10118.t1,Not Available,0,693,0,1,0.0721
g10119.t1,hypothetical protein GLRG_03625 [Glomerella graminicola M1.001],851,3459,851,2516,36.3402
g1012.t1,predicted protein [Nectria haematococca mpVI 77-13-4],68,1302,68,99,3.7988
g10120.t1,Not Available,0,2196,0,2,0.0455
g10121.t1,hmg box protein,350,1470,350,517,17.5712
g10122.t1,saccharopine dehydrogenase,827,1221,827,1021,41.7770
g10123.t1,Not Available,0,612,0,0,0.0000
g10124.t1,t-complex protein 1 subunit theta,964,1644,964,2798,85.0302
g10125.t1,Not Available,3,1512,3,7,0.2313
g10126.t1,phd and ring finger domain,597,2379,597,1625,34.1261
g10127.t1,Not Available,277,4452,277,703,7.8891
g10128.t1,50s ribosomal subunit l30,249,1662,249,536,16.1124
g10129.t1,ran exchange factor prp20 pim1,909,1434,909,1111,38.7072
g1013.t1,Not Available,194,678,194,339,24.9803
g10130.t1,ran exchange factor prp20,184,2649,184,695,13.1078
g10131.t1,Not Available,74,1794,74,355,9.8863
g10132.t1,tripeptidyl peptidase a,78,1749,78,156,4.4562
g10133.t1,Not Available,223,4464,223,381,4.2641
g10134.t1,multidrug resistance-associated protein 1,1594,4378,1594,2914,33.2538
g10135.t1,Not Available,0,936,0,3,0.1601
g10136.t1,ferric-chelate reductase,988,2181,988,993,22.7468
g10137.t1,Not Available,44,876,44,47,2.6805
g10138.t1,isoeugenol monooxygenase,0,1641,0,0,0.0000
g10139.t1,Not Available,0,735,0,0,0.0000
g1014.t1,c4-dicarboxylate transporter malic acid transport,40,1086,40,44,2.0242
g10140.t1,polyketide synthase,0,1011,0,0,0.0000
g10141.t1,acetolactate synthase,0,2109,0,0,0.0000
g10142.t1,x-pro dipeptidyl-peptidase c-terminal non-catalytic domain-containing protein,88,1800,88,102,2.8311
g10143.t1,fungal specific transcription factor domain-containing protein,129,2769,129,167,3.0132
g10144.t1,Not Available,8,1899,8,14,0.3683
g10145.t1,cytochrome p450,163,1626,163,195,5.9916
g10146.t1,pisatin demethylase,9,1500,9,19,0.6328
g10147.t1,Not Available,0,1095,0,2,0.0913
g10148.t1,Not Available,7,798,7,15,0.9391
g10149.t1,tpr domain protein,378,1716,378,509,14.8193
g1015.t1,Not Available,1210,405,1210,1210,149.2649
g10150.t1,Not Available,2,306,2,3,0.4898
g10151.t1,hypothetical protein VDAG_04875 [Verticillium dahliae VdLs.17],41,678,41,65,4.7897
g10152.t1,Not Available,0,462,0,2,0.2163
g10153.t1,hypothetical protein CTHT_0004000 [Chaetomium thermophilum var. thermophilum DSM 1495],4604,1644,4604,7245,220.1729
g10154.t1,Not Available,578,876,578,1219,69.5227
g10155.t1,integral membrane protein,206,2214,206,282,6.3635
g10156.t1,Not Available,3,1653,3,3,0.0907
g10157.t1,u-box domain-containing protein,1986,1536,1986,2411,78.4212
g10158.t1,o-methyltransferase,568,2745,568,771,14.0326
g10159.t1,hypothetical protein TRIATDRAFT_308164 [Trichoderma atroviride IMI 206040],250,2283,250,327,7.1560
g1016.t1,aspartic proteinase,5,1278,5,5,0.1955
g10160.t1,sam domain,2276,1146,2276,3241,141.2933
g10161.t1,Not Available,83,546,83,161,14.7320
g10162.t1,hypothetical protein MYCTH_2307822 [Myceliophthora thermophila ATCC 42464],2,489,2,2,0.2043
g10163.t1,copper amine oxidase,6,2343,6,6,0.1279
g10164.t1,fmn dependent,70,1305,70,70,2.6799
g10165.t1,taurine dioxygenase family protein,0,1116,0,0,0.0000
g10166.t1,Not Available,0,843,0,0,0.0000
g10167.t1,hypothetical protein NECHADRAFT_28303 [Nectria haematococca mpVI 77-13-4],13,885,13,20,1.1291
g10168.t1,Not Available,0,360,0,2,0.2776
g10169.t1,hypothetical protein TRIATDRAFT_308164 [Trichoderma atroviride IMI 206040],0,1557,0,0,0.0000
g1017.t1,Not Available,119,771,119,123,7.9704
g10170.t1,Not Available,0,657,0,0,0.0000
g10171.t1,Not Available,34,1542,34,72,2.3328
g10172.t1,adenylosuccinate lyase,3573,1449,3573,7528,259.5604
g10173.t1,Not Available,2,888,2,2,0.1125
g10174.t1,Not Available,92,1605,92,136,4.2334
g10175.t1,nuclear distribution protein nudf,264,1377,264,377,13.6784
g10176.t1,Not Available,232,252,232,232,45.9954
g10177.t1,gnat family,79,588,79,124,10.5359
g10178.t1,Not Available,0,294,0,0,0.0000
g10179.t1,Not Available,361,2094,361,576,13.7427
g1018.t1,hypothetical protein FG10817.1 [Gibberella zeae PH-1],686,486,686,686,70.5205
g10180.t1,telomere silencing protein,1205,3243,1205,1760,27.1140
g10181.t1,Not Available,15,933,15,30,1.6064
g10182.t1,hypothetical protein GLRG_09566 [Glomerella graminicola M1.001],258,2745,258,321,5.8424
g10183.t1,Not Available,50,2187,50,146,3.3353
g10184.t1,exocyst component sec3,853,4497,853,1536,17.0646
g10185.t1,l-xylulose reductase,53,1128,53,152,6.7323
g10186.t1,Not Available,42,1038,42,129,6.2090
g10187.t1,c6 transcription,743,2280,743,843,18.4723
g10188.t1,Not Available,0,408,0,2,0.2449
g10189.t1,Not Available,0,510,0,0,0.0000
g1019.t1,wd domain containing protein,849,8028,849,1879,11.6936
g10190.t1,sugar transporter,1561,1884,1561,2703,71.6791
g10191.t1,Not Available,8,1500,8,16,0.5329
g10192.t1,predicted protein [Verticillium albo-atrum VaMs.102],298,624,298,298,23.8594
g10193.t1,Not Available,256,801,256,256,15.9674
g10194.t1,Not Available,244,1215,244,263,10.8145
g10195.t1,carboxylesterase family protein,58,1806,58,73,2.0194
g10196.t1,Not Available,28,1803,28,53,1.4686
g10197.t1,hypothetical protein GLRG_09549 [Glomerella graminicola M1.001],507,1494,507,749,25.0472
g10198.t1,Not Available,20,2676,20,45,0.8401
g10199.t1,serine threonine protein kinase,785,2697,785,1805,33.4367
g102.t1,endoglucanase ii,0,318,0,0,0.0000
g1020.t1,dead box atp-dependent rna,138,4311,138,276,3.1986
g10200.t1,hypothetical protein GLRG_09550 [Glomerella graminicola M1.001],734,4224,734,1230,14.5482
g10201.t1,Not Available,1,1422,1,3,0.1054
g10202.t1,toxin biosynthesis,2357,2181,2357,4653,106.5871
g10203.t1,Not Available,41,3507,41,157,2.2366
g10204.t1,p type cation copper-transporter,1575,3396,1575,5547,81.6052
g10205.t1,isoflavone reductase family protein,255,996,255,255,12.7911
g10206.t1,Not Available,0,261,0,0,0.0000
g10207.t1,cyclin domain-containing protein,2545,1065,2545,4577,214.7131
g10208.t1,Not Available,481,972,481,913,46.9280
g10209.t1,regulatory protein abaa,15,2643,15,26,0.4915
g1021.t1,phosphate-repressible phosphate permease,332,1788,332,1524,42.5838
g10210.t1,hypothetical protein NECHADRAFT_26479 [Nectria haematococca mpVI 77-13-4],14,3069,14,23,0.3744
g10211.t1,Not Available,0,702,0,1,0.0712
g10212.t1,peptidyl-prolyl cis-trans isomerase,499,2862,499,576,10.0550
g10213.t1,hypothetical protein AOR_1_378094 [Aspergillus oryzae RIB40],41,1299,41,53,2.0384
g10214.t1,ring-8 protein,1263,1422,1263,4685,164.6028
g10215.t1,Not Available,1,1155,1,13,0.5623
g10216.t1,Not Available,0,423,0,2,0.2362
g10217.t1,hypothetical protein FG00882.1 [Gibberella zeae PH-1],92,1185,92,136,5.7339
g10218.t1,golgi complex component,997,7578,997,1648,10.8650
g10219.t1,Not Available,158,3903,158,342,4.3778
g1022.t1,Not Available,5,399,5,5,0.6261
g10220.t1,Not Available,74,975,74,99,5.0729
g10221.t1,Not Available,1381,1149,1381,2541,110.4872
g10222.t1,adenine phosphoribosyltransferase,913,723,913,2051,141.7277
g10223.t1,Not Available,0,507,0,0,0.0000
g10224.t1,glycoside hydrolase family 47 protein,319,3132,319,389,6.2052
g10225.t1,Not Available,18,2238,18,32,0.7144
g10226.t1,peroxisomal biogenesis factor 2,350,1374,350,576,20.9442
g10227.t1,importin-beta domain-containing protein,775,3702,775,1003,13.5360
g10228.t1,Not Available,0,1233,0,1,0.0405
g10229.t1,Not Available,1021,2508,1021,1666,33.1875
g1023.t1,Not Available,10,1188,10,10,0.4205
g10230.t1,deubiquitination-protection protein dph1,1723,1287,1723,3309,128.4534
g10231.t1,tumor suppressor candidate 4,620,3411,620,1014,14.8520
g10232.t1,Not Available,1,837,1,4,0.2388
g10233.t1,tyrosyl-trna synthetase,95,1842,95,157,4.2583
g10234.t1,Not Available,2324,669,2324,5332,398.1909
g10235.t1,succinate dehydrogenase membrane anchor subunit,1397,1839,1397,3410,92.6403
g10236.t1,iq calmodulin-binding motif protein,6208,1959,6208,11230,286.3997
g10237.t1,px domain-containing protein,244,603,244,244,20.2162
g10238.t1,ser thr protein phosphatase,172,870,172,172,9.8773
g10239.t1,ubiquitin-protein ligase sel1,272,1389,272,356,12.8049
g1024.t1,Not Available,4,2178,4,11,0.2523
g10240.t1,Not Available,0,630,0,0,0.0000
g10241.t1,com1 regulatory protein,1136,2058,1136,1744,42.3378
g10242.t1,Not Available,5,1266,5,7,0.2762
g10243.t1,glucose-inducible sam-dependent methyltransferase,23,1020,23,59,2.8899
g10244.t1,Not Available,5,918,5,19,1.0340
g10245.t1,Not Available,7,1698,7,9,0.2648
g10246.t1,upf0052 domain protein,92,2322,92,258,5.5512
g10247.t1,Not Available,18,1311,18,80,3.0487
g10248.t1,oxidoreductase domain-containing protein,201,1128,201,336,14.8819
g10249.t1,Not Available,0,258,0,2,0.3873
g1025.t1,striatin pro11,261,2526,261,639,12.6385
g10250.t1,Not Available,8,603,8,12,0.9942
g10251.t1,pig-p domain-containing protein,150,993,150,185,9.3079
g10252.t1,Not Available,8,1989,8,9,0.2261
g10253.t1,amidase signature enzyme,747,1842,747,1066,28.9131
g10254.t1,beta-flanking protein,2792,636,2792,3842,301.8057
g10255.t1,Not Available,61,612,61,89,7.2655
g10256.t1,cutinase gene palindrome-binding protein,1538,1863,1538,3055,81.9267
g10257.t1,Not Available,49,1557,49,130,4.1714
g10258.t1,dna repair protein rad50,1427,7734,1427,2243,14.4895
g10259.t1,Not Available,0,1068,0,0,0.0000
g1026.t1,hypothetical protein CLUG_02201 [Clavispora lusitaniae ATCC 42720],147,1296,147,373,14.3791
g10260.t1,Not Available,0,1365,0,3,0.1098
g10261.t1,hypothetical protein FOXB_11134 [Fusarium oxysporum Fo5176],565,1224,565,881,35.9602
g10262.t1,Not Available,59,1743,59,109,3.1243
g10263.t1,peptidyl-prolyl cis-trans isomerase,41084,543,41084,61099,5621.6207
g10264.t1,Not Available,138,1548,138,287,9.2627
g10265.t1,golgi to endosome transport protein,898,1578,898,1965,62.2132
g10266.t1,ctr copper transporter family protein,48169,588,48169,90190,7663.1676
g10267.t1,Not Available,6688,702,6688,11558,822.5700
g10268.t1,hemerythrin hhe cation binding domain-containing protein,8359,885,8359,12509,706.1656
g10269.t1,Not Available,79,561,79,150,13.3584
g1027.t1,dna repair protein rad14,297,1152,297,453,19.6459
g10270.t1,zip zinc transporter,848,1344,848,1387,51.5590
g10271.t1,Not Available,437,1491,437,680,22.7855
g10272.t1,Not Available,52,819,52,90,5.4902
g10273.t1,stb2 protein,382,3567,382,675,9.4543
g10274.t1,Not Available,0,1563,0,2,0.0639
g10275.t1,mitochondrial import inner membrane translocase subunit tim10,1186,2136,1186,1188,27.7871
g10276.t1,predicted protein [Ajellomyces capsulatus NAm1],1,1794,1,2,0.0557
g10277.t1,26s proteasome regulatory subunit,3063,3459,3063,5448,78.6890
g10278.t1,histone deacetylase rpd3,376,1917,376,674,17.5657
g10279.t1,alcohol dehydrogenase,0,1044,0,0,0.0000
g1028.t1,phosphate transporter,1260,576,1260,4111,356.5761
g10280.t1,Not Available,0,528,0,2,0.1892
g10281.t1,methyltransferase domain-containing protein,978,1323,978,1036,39.1226
g10282.t1,hypothetical protein AFUA_4G08860 [Aspergillus fumigatus Af293],248,1047,248,258,12.3112
g10283.t1,amidohydrolase family protein,66,2595,66,143,2.7531
g10284.t1,duf1479 domain protein,237,1500,237,701,23.3482
g10285.t1,Not Available,6,654,6,19,1.4515
g10286.t1,fungal specific transcription,47,1887,47,187,4.9510
g10287.t1,Not Available,5,1254,5,39,1.5538
g10288.t1,Not Available,8,2139,8,27,0.6306
g10289.t1,dihydroxyacid dehydratase,67,2730,67,152,2.7817
g1029.t1,heat shock protein 70-like protein,291,2856,291,1259,22.0239
g10290.t1,set domain protein,94,1887,94,120,3.1771
g10291.t1,Not Available,0,945,0,0,0.0000
g10292.t1,glycoside hydrolase family 63 protein,569,2541,569,584,11.4825
g10293.t1,Not Available,1,351,1,2,0.2847
g10294.t1,integral membrane protein,7,2694,7,17,0.3153
g10295.t1,hypothetical protein MGG_09720 [Magnaporthe oryzae 70-15],63,2430,63,151,3.1045
g10296.t1,hypothetical protein MGG_09109 [Magnaporthe oryzae 70-15],20,1110,20,25,1.1252
g10297.t1,Not Available,0,636,0,0,0.0000
g10298.t1,Not Available,0,567,0,1,0.0881
g10299.t1,carboxylesterase family protein,1,1662,1,1,0.0301
g103.t1,Not Available,51,744,51,221,14.8404
g1030.t1,Not Available,0,2526,0,3,0.0593
g10300.t1,mynd finger,48,1113,48,98,4.3990
g10301.t1,Not Available,0,846,0,2,0.1181
g10302.t1,Not Available,115,348,115,115,16.5100
g10303.t1,methyltransferase domain-containing protein,586,1053,586,586,27.8033
g10304.t1,methyltransferase domain-containing protein,1604,1089,1604,1604,73.5874
g10305.t1,beta-xylosidase,2,1659,2,2,0.0602
g10306.t1,cell wall glycosyl hydrolase,0,1164,0,0,0.0000
g10307.t1,glycoside hydrolase family 28 protein,69,1317,69,86,3.2624
g10308.t1,Not Available,1,810,1,2,0.1234
g10309.t1,c6 finger domain,65,1341,65,76,2.8315
g1031.t1,Not Available,45,1146,45,79,3.4441
g10310.t1,Not Available,8,861,8,13,0.7543
g10311.t1,rta1 domain,13,912,13,13,0.7122
g10312.t1,dj-1 family protein,10230,735,10230,15959,1084.7898
g10313.t1,cyclopropane-fatty-acyl-phospholipid synthase,1828,2688,1828,4705,87.4496
g10314.t1,Not Available,224,1956,224,695,17.7518
g10315.t1,duf636 domain protein,104,2598,104,169,3.2499
g10316.t1,het domain-containing protein,74,1575,74,158,5.0119
g10317.t1,Not Available,5674,1278,5674,10234,400.0754
g10318.t1,hypothetical protein MAA_05352 [Metarhizium anisopliae ARSEF 23],2,639,2,12,0.9382
g10319.t1,hypothetical protein [Podospora anserina S mat+],2166,333,2166,2166,324.9687
g1032.t1,phosphatidylinositol n-acetylglucosaminyltransferase gpi3 subunit,276,1443,276,403,13.9529
g10320.t1,hypothetical protein NECHADRAFT_47830 [Nectria haematococca mpVI 77-13-4],9200,1308,9200,15365,586.8838
g10321.t1,pp-loop family protein,120,2766,120,183,3.3054
g10322.t1,Not Available,1,1197,1,2,0.0835
g10323.t1,s-adenosylmethionine mitochondrial carrier protein,75,1365,75,119,4.3555
g10324.t1,Not Available,0,717,0,1,0.0697
g10325.t1,Not Available,28,2382,28,77,1.6150
g10326.t1,wd repeat protein,433,3018,433,935,15.4782
g10327.t1,hypothetical protein CH063_02862 [Colletotrichum higginsianum],5,816,5,6,0.3674
g10328.t1,Not Available,0,402,0,0,0.0000
g10329.t1,Not Available,1,732,1,1,0.0683
g1033.t1,peptidase family m1,1971,4647,1971,7514,80.7841
g10330.t1,hypothetical protein AKAW_04135 [Aspergillus kawachii IFO 4308],42,1005,42,42,2.0879
g10331.t1,aspartate aminotransferase,814,1902,814,5071,133.2019
g10332.t1,hypothetical protein MAA_02670 [Metarhizium anisopliae ARSEF 23],178,2196,178,973,22.1364
g10333.t1,50s ribosomal protein l24,61,2784,61,278,4.9889
g10334.t1,tryptophan synthase,211,2904,211,929,15.9826
g10335.t1,aspartic proteinase,0,1350,0,0,0.0000
g10336.t1,indole-diterpene biosynthesis protein,79,4677,79,162,1.7305
g10337.t1,domain-containing protein,107,5334,107,201,1.8827
g10338.t1,4-hydroxybenzoate polyprenyl transferase,417,1923,417,470,12.2108
g10339.t1,40s ribosomal protein s23,1926,2406,1926,4201,87.2337
g1034.t1,3-deoxy-d-manno-octulosonic acid 8-phosphate synthase,231,3342,231,1137,16.9974
g10340.t1,hypothetical protein CH063_11235 [Colletotrichum higginsianum],137,1446,137,383,13.2330
g10341.t1,endopeptidase inhibitor-like protein,5247,297,5247,5247,882.6365
g10342.t1,Not Available,148,2568,148,229,4.4552
g10343.t1,microtubule binding protein,419,2811,419,655,11.6415
g10344.t1,autophagy protein 8,15119,357,15119,29375,4110.9001
g10345.t1,Not Available,86,417,86,154,18.4507
g10346.t1,26s proteasome regulatory subunit rpn-8,3082,5070,3082,9628,94.8758
g10347.t1,coproporphyrinogen iii oxidase,465,1080,465,4450,205.8560
g10348.t1,hypothetical protein GLRG_08056 [Glomerella graminicola M1.001],53,915,53,59,3.2215
g10349.t1,Not Available,6,552,6,19,1.7197
g1035.t1,tyrosine-protein phosphatase non-receptor,2562,2946,2562,5435,92.1710
g10350.t1,adenylate kinase,639,786,639,953,60.5756
g10351.t1,integral membrane protein,749,653,749,1013,77.5039
g10352.t1,Not Available,87,1119,87,102,4.5540
g10353.t1,Not Available,195,1233,195,283,11.4670
g10354.t1,allantoate permease,4709,1530,4709,6369,207.9731
g10355.t1,Not Available,21,3129,21,62,0.9900
g10356.t1,abc drug exporter,301,4683,301,933,9.9537
g10357.t1,Not Available,27,1368,27,91,3.3234
g10358.t1,heterokaryon incompatibility protein,179,2004,179,179,4.4625
g10359.t1,mfs transporter,504,6111,504,802,6.5568
g1036.t1,Not Available,0,621,0,1,0.0805
g10360.t1,mfs transporter,410,1473,410,884,29.9831
g10361.t1,Not Available,0,441,0,2,0.2266
g10362.t1,Not Available,0,387,0,0,0.0000
g10363.t1,hypothetical protein NCU00873 [Neurospora crassa OR74A],25,732,25,25,1.7063
g10364.t1,nacht and wd domain protein,97,4863,97,97,0.9965
g10365.t1,short-chain dehydrogenase reductase,246,1005,246,246,12.2292
g10366.t1,Not Available,2,573,2,2,0.1744
g10367.t1,protein rds1,72,1512,72,140,4.6260
g10368.t1,Not Available,0,987,0,2,0.1012
g10369.t1,hhe domain protein,57,678,57,62,4.5687
g1037.t1,Not Available,10,1074,10,39,1.8142
g10370.t1,f-box domain containing protein,939,3561,939,994,13.9457
g10371.t1,Not Available,1,444,1,1,0.1125
g10372.t1,Not Available,2936,2364,2936,5560,117.5045
g10373.t1,Not Available,0,300,0,0,0.0000
g10374.t1,phosphate-repressible phosphate permease,12702,1746,12702,28178,806.2936
g10375.t1,chitin binding protein 1,7,966,7,7,0.3620
g10376.t1,ferric-chelate reductase,69706,1740,69706,69706,2001.4658
g10377.t1,heterokaryon incompatibility protein,467,1902,467,827,21.7231
g10378.t1,Not Available,0,399,0,4,0.5009
g10379.t1,Not Available,2261,246,2261,2261,459.1903
g1038.t1,Not Available,3,273,3,3,0.5490
g10380.t1,Not Available,131,1710,131,342,9.9921
g10381.t1,glycoside hydrolase family 5 protein,158,2280,158,351,7.6913
g10382.t1,Not Available,25,402,25,41,5.0955
